# Generated from Wikidata person and family-name labels for selected scholarly occupations.
# name\tkind\tWikidata entity
't Mannetje	family	Q102555807
A A Ivanova	label	Q100506111
A A Mamun	label	Q4655288
A B Schmidt	label	Q89416320
A F M Yusuf Haider	label	Q25588474
A G Ramakrishnan	label	Q17708993
A J Soares	label	Q90007481
A Knetsch	label	Q102388759
A L Eryomin	label	Q87055226
A Magnani	label	Q104574154
A Min Tjoa	label	Q58034488
A P Oliver	label	Q91056073
A Satyanarayana Shastri	label	Q4659339
A Seema	label	Q104775939
A Siri Luthman	label	Q91286099
A'lokhon Afsahzod	label	Q25591507
A-Do	label	Q16364263
A. A. Anjewierden	label	Q112539588
A. A. Burenin	label	Q18634126
A. A. Feĭzullaev	label	Q31296622
A. A. Hussein Omar	label	Q102199571
A. A. Khan	label	Q4647474
A. A. Khlevov	label	Q48963334
A. A. Klopov	label	Q29865175
A. A. Kremenet︠s︡kiĭ	label	Q42308844
A. A. Krishnaswami Ayyangar	label	Q4647478
A. A. Kuratov	label	Q16266920
A. A. Long	label	Q4647479
A. A. Luce	label	Q4647485
A. A. Makhnach	label	Q17044850
A. A. Mikhailov	label	Q102197669
A. A. Mi︠a︡tselʹski	label	Q6463764
A. A. Nikonov	label	Q4321109
A. A. Nugroho	label	Q60127912
A. A. Pautkin	label	Q4347261
A. A. Radugin	label	Q21153812
A. A. Rybnikov	label	Q4401614
A. A. Semi︠a︡novich	label	Q6464066
A. A. Sergeev	label	Q29792986
A. A. Shumkov	label	Q4527790
A. A. Skoromet︠s︡	label	Q29359514
A. A. Strigalev	label	Q19367364
A. A. Zaitsev	label	Q102197642
A. A. Zhizhilenko	label	Q4180129
A. Adomako	label	Q16001285
A. Agnes Sneller	label	Q108457581
A. Allan Schmid	label	Q103047083
A. Ambrósio de Pina	label	Q97065087
A. Appan Ramanujam	label	Q113804336
A. B. Bhatia	label	Q112481745
A. B. M. Obaidul Islam	label	Q130284925
A. B. Rajib Hazarika	label	Q102368016
A. B. Vengerov	label	Q20624822
A. Bargiela	label	Q20830436
A. Barrie Pittock	label	Q112523740
A. Bekshtrem	label	Q4081465
A. Bouchoule	label	Q117421300
A. Brooks Harris	label	Q278575
A. Bruce Clarke	label	Q102123311
A. Bruce Robson	label	Q121335679
A. C. Bhaktivedanta Swami Prabhupada	label	Q234898
A. C. Ewing	label	Q1423151
A. C. Gleeson	label	Q102424837
A. C. Grayling	label	Q278583
A. C. Perkins	label	Q112548095
A. Carl Helmholz	label	Q4647633
A. Catrina Bryce	label	Q4647638
A. Ch. de Guttenberg	label	Q95245850
A. Chapuis	label	Q95757007
A. Charlene Senape McDermott	label	Q111201920
A. Chebyshev-Dmitrīev	label	Q4508129
A. Clifford Cohen	label	Q67910944
A. Colin Cameron	label	Q22003545
A. Colin McClung	label	Q4647650
A. Cornelius Benjamin	label	Q93248367
A. D. Gordon	label	Q399986
A. D. Jankowicz	label	Q112407520
A. D. Murphy	label	Q93735181
A. D. Trubatch	label	Q102240237
A. D. Zhelti︠a︡kov	label	Q16368505
A. David May	label	Q128200338
A. David Thackeray	label	Q504404
A. Denny Ellerman	label	Q102586691
A. Desmond O'Rourke	label	Q103046958
A. Dobešová	label	Q120629299
A. Donald Davies	label	Q4647698
A. Donald Keedwell	label	Q102198279
A. Douglas Stone	label	Q69542644
A. E. Benfield	label	Q109328293
A. E. Grosz	label	Q124636811
A. E. P. Haron	label	Q102198310
A. E. Surinov	label	Q4446523
A. E. Varshavsky	label	Q132159751
A. E. Williams	label	Q94113423
A. Edward Safarian	label	Q98518231
A. Elena Charola	label	Q69806676
A. F. Huele	label	Q102256476
A. F. Mujibur Rahman	label	Q20638732
A. F. P. Bakker	label	Q112411513
A. F. Pullich	label	Q112539994
A. F. Zamaleev	label	Q4185636
A. Femius Koenderink	label	Q59627146
A. Fortunatov	label	Q4492058
A. G. Cracknell	label	Q132156014
A. G. de Bruyn	label	Q56512568
A. G. Didenko	label	Q4161337
A. G. E. Blake	label	Q4647780
A. G. Holmes-Siedle	label	Q133288259
A. G. Kenwood	label	Q112436385
A. G. Lundin	label	Q16672432
A. G. Mikerin	label	Q102197678
A. G. Mitroshkina	label	Q55105163
A. G. Sitenko	label	Q12153041
A. G. Svi︠a︡zhin	label	Q40029878
A. Grant Schissler	label	Q56744679
A. H. Almaas	label	Q4647826
A. H. Armstrong	label	Q559709
A. H. C. Westphal	label	Q9637415
A. H. J. Al-Timimi	label	Q102199594
A. H. Lightstone	label	Q4647828
A. H. Studenmund	label	Q76662567
A. H. Vedder	label	Q112561780
A. Hadidi	label	Q112540748
A. Hari Reddi	label	Q4647855
A. Harry Wheeler	label	Q43898632
A. I. Anchishkin	label	Q4067827
A. I. Baranikov	label	Q48514072
A. I. Braginski	label	Q117421108
A. I. Dikusar	label	Q12720311
A. I. Elistratov	label	Q28665533
A. I. Fomin	label	Q102197645
A. I. Krushanov	label	Q15070599
A. I. Maksheev	label	Q4276478
A. I. Metchenko	label	Q18002793
A. I. Neusykhin	label	Q4318012
A. I. Odesskii	label	Q102197681
A. I. Pashkov	label	Q4347580
A. I. Pergament	label	Q29359352
A. I. Potapov	label	Q4374625
A. I. Saurin	label	Q1751633
A. I. Skvort͡sov	label	Q4421738
A. I. Subetto	label	Q18786140
A. I. Terenozhkin	label	Q4455609
A. I. Zaozerskiĭ	label	Q22918675
A. Ian McLeod	label	Q102176299
A. Ikonnikov	label	Q60694739
A. Isaac Saias	label	Q102263688
A. J. Ayer	label	Q243757
A. J. Baker	label	Q4647883
A. J. Dekker	label	Q107613514
A. J. E. M. Janssen	label	Q102238703
A. J. H. Latham	label	Q63699571
A. J. Hagger	label	Q106097743
A. J. Millard	label	Q112516483
A. J. Pressland	label	Q95762669
A. J. Preston	label	Q66446604
A. J. W. Duijvestijn	label	Q2876215
A. Jackson-Smale	label	Q112564418
A. James (Arthur) Heins	label	Q103064513
A. James Gregor	label	Q3806574
A. Janardhanan Alse	label	Q102948831
A. Johannes Dolman	label	Q56557263
A. Johannes Schmidt-Hieber	label	Q102376999
A. John Berlinsky	label	Q102400179
A. John Petkau	label	Q102266447
A. Jon Berrick	label	Q102426230
A. Juffryakov	label	Q102345913
A. K. Dobruský	label	Q95361954
A. K. Jonscher	label	Q4648027
A. K. Md. Ehsanes Saleh	label	Q102252132
A. K. N. Ahmed	label	Q22958342
A. K. Shiva Kumar	label	Q4648037
A. Kamil Tahmiscioglu	label	Q102808055
A. Karim Abu-Affash	label	Q102415254
A. Kerem Coşar	label	Q102791445
A. Kh. Golʹmsten	label	Q15065465
A. L. Kaganovich	label	Q24846189
A. L. Lougheed	label	Q112436387
A. L. Rozenberg	label	Q102197644
A. Laurie Palmer	label	Q25000613
A. Lazar	label	Q95220981
A. Leslie Robb	label	Q102123368
A. Levin	label	Q102237169
A. M. Abirami	label	Q138265866
A. M. Andrew	label	Q112435630
A. M. Fink	label	Q94636706
A. M. Formalʹskiĭ	label	Q24352096
A. M. Jayannavar	label	Q42150897
A. M. Kagan	label	Q56096257
A. M. Kulʹkin	label	Q19618659
A. M. Mathai	label	Q4648132
A. M. Mirzoev	label	Q20604148
A. M. Safwan	label	Q140167681
A. M. Sarma	label	Q112558011
A. M. Ungar	label	Q112428679
A. Makarenko	label	Q29359166
A. Mark Fox	label	Q59453233
A. Martinez de la Ossa	label	Q59483299
A. Mary Tropper	label	Q102197940
A. Michael Noll	label	Q4648184
A. Mitchell Polinsky	label	Q20709053
A. Modinos	label	Q112375834
A. Monem Mahjoub	label	Q27957314
A. Mukhtarov	label	Q4309006
A. Murat Eren	label	Q58020325
A. Myrick (Albert) Freeman III	label	Q103013069
A. N. Aufa	label	Q137176602
A. N. Kochetov	label	Q19909701
A. N. Kopylov	label	Q18243976
A. N. Krestovnikov	label	Q98836190
A. N. Kruglov	label	Q95315335
A. N. Kuznetsov	label	Q102305147
A. N. M. Hamidullah	label	Q24943796
A. N. Nandakumar	label	Q140390731
A. N. Savinov	label	Q24846225
A. Nida-Rümelin	label	Q95241719
A. O. Bolivar	label	Q112396005
A. O. L. Atkin	label	Q278986
A. O. Paulus	label	Q112411784
A. Orlando Ortiz	label	Q124641699
A. P. Balachandran	label	Q4648223
A. P. Burmakov	label	Q27043183
A. P. G. de Moor	label	Q112524366
A. P. Isajev	label	Q108522339
A. P. Klinchin	label	Q21100831
A. P. Pinkevich	label	Q20083893
A. P. Subbotin	label	Q15075406
A. P. Zablochski-Desyatovski	label	Q4182483
A. Paige Fischer	label	Q58040673
A. Pampapathy Rao	label	Q131684193
A. Pelsser	label	Q112425188
